Tanggal,Provinsi,Kriteria UMKM,Jenis UMKM,Lokasi Usaha,Lama Usaha (Bulan),Status Kepemilikan Tempat Usaha,Jumlah Karyawan,Aset Usaha (IDR),Jumlah Pasti Aset Usaha (IDR),Liabilitas Usaha (IDR),Jumlah Pasti Liabilitas Usaha (IDR),Omset Bulanan (IDR),Jumlah Pasti Omset Bulanan (IDR),Laba Bersih (IDR),Jumlah Pasti Laba Bersih (IDR),Jumlah Pinjaman (IDR),Jumlah Pasti Jumlah Pinjaman (IDR),Rekening Bank,Skor Kredit,Kategori Skor Kredit
2022-05-14,3,1,1,1,14,3,5,3,30890000,3,36670000,3,48290000,2,17400000,2,29770000,0,723,3
2023-11-30,28,3,3,2,63,3,68,10,1199170000,13,7415390000,12,6819980000,12,6296490000,12,6733290000,1,850,5
2020-09-12,25,1,1,3,19,2,5,1,1170000,1,3820000,2,12680000,1,1690000,2,19330000,0,421,1
2022-01-28,23,3,2,3,92,1,46,11,3350900000,13,8629750000,12,6987260000,11,4470200000,12,6810010000,1,850,5
2021-10-08,26,3,3,1,78,2,52,13,8699230000,13,7613630000,12,5299850000,11,4599850000,12,6604200000,0,850,5
2021-03-25,9,2,5,2,23,1,8,5,184210000,5,191330000,7,380050000,4,75820000,7,379980000,0,850,5
2023-02-07,1,2,1,3,80,2,25,6,214970000,6,258350000,5,160900000,4,98460000,9,641410000,1,850,5
2023-07-04,20,3,5,3,74,3,72,11,4158310000,10,2286220000,12,6049270000,10,1240230000,12,6887040000,0,850,5
2021-05-08,37,3,1,1,211,4,33,11,3275720000,13,9361390000,11,3569200000,13,7909670000,11,4531050000,0,850,5
2023-08-23,24,1,4,3,29,1,2,1,1070000,2,10710000,3,48590000,1,9870000,1,120000,1,654,2
2020-05-18,3,3,3,1,155,3,60,13,7920140000,11,4553390000,13,8043670000,13,8748310000,11,3202560000,1,850,5
2022-05-17,27,2,4,3,18,1,6,7,397740000,6,214670000,5,125710000,5,171980000,7,318810000,0,850,5
2022-08-05,16,2,1,2,115,1,6,9,790230000,4,56260000,5,122320000,7,365180000,7,328690000,0,850,5
2022-02-15,1,3,4,2,224,4,61,13,9991840000,13,7664850000,11,3637180000,11,3125590000,10,2606270000,0,850,5
2023-04-11,31,3,5,3,64,1,90,10,2828240000,11,3147150000,10,2450010000,11,3867100000,10,2911880000,1,850,5
2020-06-16,27,1,5,3,34,2,3,1,5270000,1,4460000,2,14390000,3,40070000,2,20610000,1,775,4
2023-06-26,37,2,1,1,80,3,21,6,217780000,6,209230000,5,149600000,6,221170000,7,372910000,0,850,5
2023-09-29,36,3,3,3,50,3,58,10,2910640000,10,2594330000,11,3584860000,12,6298860000,11,4541060000,0,850,5
2023-07-22,17,1,5,2,17,1,1,3,44210000,2,11480000,1,5600000,1,4390000,1,7410000,0,597,2
2020-06-03,10,3,5,1,237,2,99,11,3922960000,11,3089830000,12,5783080000,10,2930430000,12,5451140000,1,850,5
2023-02-20,27,2,5,3,31,3,10,5,155340000,4,62040000,9,996330000,6,255260000,9,963890000,1,850,5
2023-12-07,7,3,4,1,144,3,50,13,8501770000,12,6762090000,11,3478720000,10,2417410000,11,3855700000,0,850,5
2021-07-25,23,3,5,2,197,2,28,10,2883430000,12,5383470000,12,5082160000,10,2281130000,13,8484710000,0,850,5
2022-11-13,8,1,4,3,13,2,1,3,44630000,1,8720000,3,36610000,2,24470000,1,5540000,0,850,5
2021-09-07,33,1,3,3,27,2,4,3,39920000,3,34270000,1,7050000,3,42720000,3,35840000,0,793,4
2020-01-01,20,1,3,1,28,2,4,2,24840000,3,37170000,3,45880000,3,35690000,3,32850000,0,812,5
2023-07-20,22,1,1,1,20,3,2,1,410000,1,4110000,2,12440000,2,23910000,3,49320000,1,611,2
2022-03-29,16,2,2,3,100,1,8,7,329370000,5,193400000,8,462350000,4,87410000,5,116290000,0,850,5
2023-09-29,34,2,5,3,52,4,24,9,978900000,8,457280000,8,459850000,5,199810000,7,360410000,0,850,5
2021-07-21,34,1,4,3,16,2,4,1,4790000,1,4560000,2,20730000,3,32700000,1,2530000,1,730,3
2020-11-08,14,1,1,2,27,2,5,2,23950000,1,3470000,2,23070000,3,30660000,3,42760000,0,788,4
2021-09-03,25,2,4,3,107,3,20,5,136630000,7,365180000,4,76100000,6,289770000,9,928500000,0,850,5
2020-09-18,35,2,1,2,87,1,7,9,730110000,5,161970000,5,106750000,6,250880000,6,228410000,0,850,5
2022-02-15,18,2,4,2,118,1,20,4,86200000,4,73490000,5,187260000,4,93740000,4,52080000,1,850,5
2023-06-26,10,3,2,1,145,1,97,11,3998650000,12,6646900000,12,5360320000,10,2670300000,11,3667950000,1,850,5
2023-03-25,25,2,4,3,37,1,23,9,945910000,9,630380000,4,96790000,6,291840000,8,416250000,1,850,5
2022-05-27,24,1,1,3,22,1,4,2,13540000,2,22150000,3,45430000,3,35130000,2,15910000,0,792,4
2022-06-11,38,2,3,2,43,1,13,7,332730000,7,376480000,8,489680000,7,345150000,4,83170000,0,850,5
2021-03-10,23,2,3,2,47,2,22,4,84670000,5,111490000,5,196650000,7,365580000,8,432260000,0,850,5
2020-02-05,6,2,3,1,63,3,14,9,812220000,6,263520000,8,471260000,6,257110000,9,795490000,0,850,5
2022-07-18,18,1,3,2,15,1,2,2,14010000,3,47980000,3,36210000,1,3630000,3,46250000,0,458,1
2021-08-02,7,1,2,2,15,2,2,2,10470000,3,47920000,1,4600000,1,910000,3,39800000,1,339,1
2020-01-26,37,3,3,2,146,4,68,11,3110330000,12,6850540000,13,7490000000,10,1860510000,13,7318180000,1,850,5
2023-02-26,20,3,1,1,54,4,53,13,8934940000,13,8277120000,13,8311600000,10,2309170000,10,2637970000,1,850,5
2023-09-14,6,2,2,1,34,1,10,4,77420000,7,392530000,8,463070000,6,204380000,5,138670000,0,850,5
2023-11-08,15,3,3,3,174,3,79,10,2169440000,11,4390780000,11,4950800000,12,6775180000,11,3153350000,1,850,5
2023-05-03,37,2,3,2,27,4,14,9,716100000,6,267170000,8,466280000,7,310800000,8,405350000,0,850,5
2021-05-27,2,1,1,1,2,2,5,1,2940000,2,27410000,3,44840000,2,16090000,3,44630000,0,577,1
2021-12-13,27,2,3,2,97,1,10,6,255250000,9,766000000,6,288930000,7,373830000,4,80520000,1,850,5
2021-10-24,8,2,4,3,117,1,22,7,355470000,4,62590000,8,448560000,8,466910000,9,737320000,1,850,5
2023-01-29,9,2,3,2,101,4,8,4,92280000,8,432120000,9,585030000,6,273930000,4,87060000,0,850,5
2020-08-20,30,3,1,3,237,3,88,12,6092790000,12,5892260000,13,9028170000,11,3980940000,11,3823740000,1,850,5
2020-10-06,5,1,3,2,22,2,1,2,20020000,3,49460000,3,46430000,1,7490000,3,46250000,0,548,1
2023-01-17,25,1,4,2,13,3,5,2,17840000,2,11460000,2,25870000,3,42790000,2,15100000,0,816,5
2022-10-25,38,3,3,1,240,4,37,13,7065920000,11,3880420000,11,3160690000,13,8138260000,12,6338440000,0,850,5
2023-10-13,35,2,4,2,92,4,22,4,91440000,4,65760000,9,867430000,6,230530000,9,548520000,0,850,5
2023-12-12,7,1,4,1,20,1,1,2,11880000,2,22030000,2,24450000,1,4100000,3,43830000,1,525,1
2020-06-10,25,3,5,3,85,4,99,11,3498620000,13,9739780000,12,5986920000,12,6432030000,10,2930390000,0,850,5
2023-01-24,11,1,1,2,23,2,4,3,38390000,2,20140000,1,6450000,2,13580000,1,6400000,0,613,2
2021-08-27,2,1,4,2,1,1,5,3,46670000,2,17720000,3,41820000,1,3190000,3,38410000,1,774,4
2023-08-16,3,1,3,2,3,2,2,1,4950000,2,23940000,1,3370000,1,9050000,2,27810000,0,380,1
2022-09-13,19,2,3,1,71,1,9,5,190770000,9,862070000,7,374800000,6,212120000,7,301870000,0,850,5
2022-07-20,24,3,3,3,121,2,38,11,4012490000,10,2330470000,12,6965500000,11,4390820000,10,2364520000,0,850,5
2022-04-16,8,1,2,1,3,2,4,1,1630000,1,9020000,1,6520000,2,22450000,3,48130000,0,514,1
2023-09-03,7,2,4,3,64,2,6,9,698930000,5,159510000,7,331690000,6,213340000,9,697210000,0,850,5
2021-07-19,13,2,1,2,23,3,25,9,820590000,4,53390000,6,232690000,5,175780000,5,109210000,1,850,5
2021-11-03,10,3,5,1,94,3,41,12,6714800000,11,3236070000,10,1283050000,10,1769320000,11,4264550000,0,850,5
2021-06-27,4,3,2,3,131,1,33,13,8925330000,12,6102170000,10,1970670000,11,4320930000,10,2561740000,0,850,5
2020-03-04,4,1,4,2,28,1,4,3,44880000,1,1360000,2,14980000,1,2120000,2,29640000,0,665,2
2022-12-22,19,1,4,3,28,1,1,3,48500000,3,37210000,2,25150000,1,6940000,2,25220000,0,643,2
2020-07-13,21,1,4,2,17,2,2,3,45910000,1,1530000,1,1560000,2,13240000,3,42500000,1,731,3
2023-02-24,36,1,3,3,8,4,3,3,44190000,3,31730000,2,20480000,2,13480000,3,47030000,1,704,3
2022-09-14,15,1,1,2,36,2,1,2,29260000,1,7200000,3,48680000,1,4490000,1,3030000,0,726,3
2021-12-19,1,2,2,1,84,4,7,5,199450000,9,516460000,4,85600000,5,150490000,7,360890000,0,850,5
2021-09-30,21,2,5,3,22,1,9,5,182920000,4,95230000,4,68260000,7,388840000,7,365180000,0,850,5
2021-03-17,33,2,1,2,67,1,14,9,864260000,8,465310000,8,489540000,6,206100000,5,153050000,1,850,5
2021-09-09,14,3,2,2,98,2,40,10,2068130000,13,7754600000,11,3816490000,11,4074310000,12,5154780000,0,850,5
2020-02-08,30,2,1,2,85,4,23,7,395230000,9,724250000,6,215460000,7,302800000,6,223070000,0,850,5
2022-06-13,7,3,2,2,174,4,92,10,1849900000,12,6601600000,12,5475820000,12,6673140000,11,3164020000,1,850,5
2021-02-01,23,1,3,3,10,3,1,1,4290000,1,2910000,3,35130000,3,32530000,1,8290000,0,730,3
2023-03-02,21,1,3,1,29,1,4,2,20160000,2,29840000,1,5900000,3,32490000,2,25490000,0,635,2
2022-01-25,19,3,1,3,47,4,84,10,1965800000,11,3690470000,13,9153360000,11,3132870000,13,7444540000,0,850,5
2023-08-16,12,1,1,1,29,4,5,3,35330000,2,22510000,2,23000000,2,21350000,3,31760000,0,728,3
2020-07-12,36,2,4,2,44,3,15,4,89110000,9,575930000,6,241640000,9,874990000,9,710430000,1,850,5
2023-02-18,25,2,3,1,97,1,25,9,727310000,8,448560000,4,74330000,6,224190000,5,145870000,0,850,5
2020-10-08,10,3,1,2,240,1,89,10,2421480000,12,6882040000,11,4282580000,13,7662510000,11,3388360000,1,850,5
2022-04-21,24,3,2,2,180,2,82,11,4146780000,11,3664580000,13,7833290000,12,6456650000,13,8982900000,0,850,5
2022-12-16,27,1,2,1,9,2,1,3,46130000,2,28610000,1,8660000,1,4780000,1,2690000,0,558,1
2020-10-28,28,1,1,1,29,2,1,2,11790000,2,26840000,2,17910000,2,12740000,2,17530000,1,551,1
2023-08-24,22,3,2,1,33,2,85,11,4629600000,13,8926730000,10,2945310000,10,1040810000,12,5463120000,1,850,5
2020-08-15,19,2,2,2,27,1,12,7,385760000,8,461350000,4,57440000,7,380090000,8,402210000,1,850,5
2022-05-29,1,2,5,2,42,4,10,9,858750000,4,85130000,6,209080000,8,473030000,8,468130000,1,850,5
2020-03-30,25,2,3,2,107,1,16,4,73140000,5,198370000,9,837290000,4,89050000,9,906240000,0,850,5
2021-12-22,35,3,3,3,68,4,86,11,4742680000,11,3135510000,13,7158840000,12,5432910000,10,2698890000,1,850,5
2021-09-27,33,2,4,3,72,2,6,9,602600000,6,247910000,4,94010000,6,236670000,4,74700000,0,850,5
2022-06-19,25,1,3,1,32,4,3,3,38950000,1,7120000,1,7220000,3,36060000,3,39860000,0,825,5
2021-11-02,19,3,3,2,178,4,46,13,8509880000,13,7181910000,12,6320380000,13,8179210000,10,1161150000,0,850,5
2023-10-23,11,1,1,1,29,1,2,1,3960000,3,42290000,2,22850000,3,31090000,3,35150000,0,568,1
2022-06-28,5,2,5,1,79,2,17,6,287180000,6,233500000,4,51740000,9,599880000,7,369490000,0,850,5
2021-06-17,29,2,2,3,48,4,11,4,59110000,4,80340000,5,195750000,7,311780000,9,953940000,0,850,5
2020-05-12,36,1,5,2,20,3,2,2,27070000,1,2040000,1,2330000,1,8290000,1,6050000,0,557,1
2020-09-22,6,1,1,2,26,4,5,2,23740000,3,32470000,1,5320000,3,32490000,2,25630000,0,643,2
2023-08-03,38,1,2,1,28,1,1,3,35130000,2,15520000,1,5410000,3,37570000,2,27410000,0,781,4
2021-02-06,36,2,3,1,92,2,24,8,412540000,8,486030000,5,179430000,8,420700000,5,188410000,0,850,5
2020-06-15,3,3,5,2,190,3,98,13,9654760000,10,2069530000,12,6378490000,12,6037120000,11,4728050000,0,850,5
